sr_no,gis_id,ward,name,geo_lat,geo_long,address,CS_No.,structure_type,access_type,owner,status,operator,free_parking,price_category,capacity_2W,capacity_4W_LMV,capacity_4W_LCV,capacity_HMV,start_time,end_time,payment_mode
1,D001,D,LODHA ALTAMOUNT ROAD,18.968285,72.810399,LODHA ALTAMOUNT, ALTAMOUNT ROAD (WASHINGTON HOUSE, DAHANUKAR MARG) IN D WARD,1A/664,MULTISTOREY,RAMP,MCGM,OPERATIONAL,SS MULTI SERVICES,N,A,ALLOWED,204,ALLOWED,0,0:00:00,23:59:59,CASH
2,D003,D,RUNWAL CUMBALLA HILL,18.95130043,72.79680337,THE RUNWAL BUILDING,  CUMBALLA HILL DIVISION AT NEAPENSEA ROAD, OPP RUIA BUNGALOW IN D WARD,233,MULTISTOREY,RAMP,MCGM,OPERATIONAL,PRIME TOLL AND METAL PVT. LTD.,N,A,ALLOWED,57,ALLOWED,0,0:00:00,23:59:59,CASH
3,FS001,F/S,KALPATARU AVANA,18.998241,72.842322,KALPATARU AVANA BUILDING, PAREL SEWRI DIVISION, GEN. NAGESH MARG, NEAR M.G.M HOSPITAL, IN F/S WARD,1/296(PT),MULTISTOREY,RAMP,MCGM,OPERATIONAL,MANDEEPA ENTERPRISES,N,C,512,553,ALLOWED,0,0:00:00,23:59:59,CASH
4,FS004,F/S,CELESTIA BUILDING,18.993029,72.848037,CELESTIA BUILDING, PAREL-SEWRI DIVISION, SITUATED AT THE JUNCTION OF WIDE TOKERSHI JIVRAJ ROAD AND THE PROPOSED 30.50 M WIDE D.P. ROAD, SEWRI, IN F/S WARD,163,MULTISTOREY,RAMP,MCGM,OPERATIONAL,MCGM,Y,A,ALLOWED,166,75,36,0:00:00,23:59:59,CASH
